Branch_name,Vehicle_Make,Year_Manufacture,Loan_Tenure,Interest_Rate,Annual_Income,Loan_Amount
SEREMBAN 2,PERODUA,2019,108,0.0465, Undisclosed        ,36000
KOTA KENMUNING,KIA,2018,108,0.04," RM24,001 - RM48,000",49700
"MENJALARA, KUALA LUMPUR",PERODUA,2019,60,0.046," RM48,001 - RM72,000",30000
TAMAN SRI TEBRAU,HONDA,2019,108,0.0398," RM48,001 - RM72,000",145000
"JALAN KAPAR, KLANG          ",NISSAN,2019,60,0.0393," RM24,001 - RM48,000",70000
MELAKA TMR1,PROTON,2018,108,0.049," RM18,001 - RM24,000",36300
SS2 PJ,HONDA,2019,84,0.0398," RM72,001 - RM96,000",50000
JELUTONG,TOYOTA,2019,60,0.0379," Above RM120,000    ",170000
PUCHONG JAYA,HONDA,2019,84,0.0392," RM72,001 - RM96,000",76800
TAMAN SRI TEBRAU,TOYOTA,2019,84,0.0393," RM24,001 - RM48,000",83700
"JALAN KAPAR, KLANG          ",PERODUA,2019,84,0.0474," RM48,001 - RM72,000",31000
TAMAN SRI TEBRAU,PROTON,2019,108,0.0479," RM24,001 - RM48,000",36400
DESA SRI HARTAMAS BRANCH,MAZDA,2019,84,0.0396," RM96,001 - RM120,000",70000
TAMAN SRI TEBRAU,PERODUA,2018,108,0.0487," RM18,001 - RM24,000",52900
TAMAN SRI RAMPAI BRANCH,PERODUA,2019,36,0.0499," RM24,001 - RM48,000",30000
KROKOP ,PERODUA,2019,84,0.0472," RM18,001 - RM24,000",33000
GELANG PATAH,PROTON,2018,60,0.0469, Undisclosed        ,38800
TAMAN SRI TEBRAU,PERODUA,2019,108,0.0422," RM72,001 - RM96,000",71400
BATU PAHAT BRANCH,TOYOTA,2019,60,0.0399," RM18,001 - RM24,000",40400
KUCHING RH PLAZA,MITSUBISHI,2019,108,0.0387," RM72,001 - RM96,000",124800
"JALAN KAPAR, KLANG          ",HONDA,2019,84,0.0389," RM72,001 - RM96,000",96000
"PUSAT DAGANGAN BAKRI,MUAR",HONDA,2019,84,0.0401," RM24,001 - RM48,000",50000
BANDAR SRI AMAN,TOYOTA,2019,108,0.0403," RM24,001 - RM48,000",76600
DAMANSARA CITY BRANCH,HONDA,2019,60,0.0395," Above RM120,000    ",85000
"JALAN KAPAR, KLANG          ",HONDA,2019,60,0.0392, Undisclosed        ,74700
PUCHONG JAYA,NISSAN,2019,108,0.0404," Above RM120,000    ",142000
AUSTIN HEIGHTS BRANCH,HONDA,2019,84,0.039," RM72,001 - RM96,000",70000
"BANDAR BOTANIC, SELANGOR",PERODUA,2019,60,0.0461," RM24,001 - RM48,000",38500
"JALAN BESERAH, KUANTAN   ",PERODUA,2019,108,0.0474," RM24,001 - RM48,000",48800
KOTA BHARU 1,TOYOTA,2019,108,0.04," RM24,001 - RM48,000",80700
BATU PAHAT BRANCH,HONDA,2019,60,0.0387," RM48,001 - RM72,000",84000
"TAMAN SEGAR, CHERAS BRANCH",PERODUA,2019,108,0.0463," RM24,001 - RM48,000",50000
TAMAN MIDAH,PERODUA,2018,84,0.0458," RM48,001 - RM72,000",44500
TAMAN SRI TEBRAU,HONDA,2019,108,0.0404," RM24,001 - RM48,000",70700
KUCHING RH PLAZA,PERODUA,2019,108,0.049," RM18,001 - RM24,000",31000
SS2 PJ,VOLKSWAGEN,2019,72,0.0386," Above RM120,000    ",181000
BANDAR MAHKOTA CHERAS                   ,PROTON,2019,60,0.0449," RM9,000 And Below  ",40000
"ALAMESRA, KK",PROTON,2019,36,0.0392," Above RM120,000    ",100000
PONTIAN,TOYOTA,2019,108,0.0396," RM48,001 - RM72,000",65000
PUCHONG JAYA,PERODUA,2019,60,0.0407," Above RM120,000    ",70000
KUCHING RH PLAZA,PERODUA,2019,108,0.0491," RM24,001 - RM48,000",29200
KOTA KINABALU API API,MITSUBISHI,2019,108,0.0407," RM72,001 - RM96,000",90400
SKUDAI BRANCH,NISSAN,2019,108,0.0404, Undisclosed        ,120000
KL MAIN (EON BUILDING),HONDA,2019,108,0.0405," RM48,001 - RM72,000",86900
KOTA KINABALU API API,PERODUA,2019,108,0.049," RM18,001 - RM24,000",39500
USJ,HONDA,2019,108,0.0397," RM24,001 - RM48,000",53000
PUCHONG JAYA,NISSAN,2018,108,0.0402," RM48,001 - RM72,000",116500
SEREMBAN BRANCH,TOYOTA,2019,36,0.0401," RM72,001 - RM96,000",70000
KL MAIN (EON BUILDING),TOYOTA,2019,108,0.0403," RM72,001 - RM96,000",73000
TAMAN MIDAH,MERCEDES BENZ,2019,108,0.0388," Above RM120,000    ",215000
PONTIAN,MERCEDES BENZ,2019,108,0.0396," Above RM120,000    ",220000
SETIA ALAM,PERODUA,2019,48,0.0465," RM24,001 - RM48,000",40000
AMAN PURI,HAVAL,2019,108,0.046," RM24,001 - RM48,000",87000
"PUSAT DAGANGAN BAKRI,MUAR",HONDA,2019,108,0.04," RM48,001 - RM72,000",78000
TAMAN SRI TEBRAU,PROTON,2019,108,0.048," RM24,001 - RM48,000",36000
KOTA KINABALU API API,PERODUA,2019,108,0.0486," RM24,001 - RM48,000",47500
"PORT KLANG, SELANGOR         ",PERODUA,2019,84,0.0469," RM24,001 - RM48,000",49000
TAMAN SRI TEBRAU,PERODUA,2019,108,0.0472," RM18,001 - RM24,000",34000
PUCHONG JAYA,PERODUA,2019,108,0.0485," RM48,001 - RM72,000",43800
TAMAN SRI TEBRAU,PROTON,2019,108,0.048," RM24,001 - RM48,000",35500
KUCHING RH PLAZA,PERODUA,2018,108,0.0479," RM48,001 - RM72,000",58000
TAMAN SRI TEBRAU,MAZDA,2019,72,0.0389," RM96,001 - RM120,000",100000
"KAMUNTING, PERAK            ",PERODUA,2019,108,0.0422," RM24,001 - RM48,000",72200
TAMAN SRI TEBRAU,PROTON,2019,108,0.0454," RM96,001 - RM120,000",50700
TAMAN SRI TEBRAU,PROTON,2019,108,0.0483, Undisclosed        ,33600
PUCHONG JAYA,PROTON,2019,60,0.0387," RM72,001 - RM96,000",110000
"JALAN BESERAH, KUANTAN   ",HONDA,2019,108,0.0393," RM72,001 - RM96,000",121800
DESA SRI HARTAMAS BRANCH,MAZDA,2019,84,0.0398," RM72,001 - RM96,000",71500
LUKUT,MAZDA,2019,60,0.0381," RM72,001 - RM96,000",140000
TAMAN SRI TEBRAU,TOYOTA,2019,60,0.0395," RM48,001 - RM72,000",46000
"CTRL PARK COMM CTR, KCG ",PROTON,2019,84,0.0452," RM48,001 - RM72,000",45000
KOTA KINABALU API API,HONDA,2019,108,0.0397," RM24,001 - RM48,000",75600
TAMAN SRI TEBRAU,VOLVO,2019,84,0.0388," Above RM120,000    ",255000
AUTO CITY-JURU PRAI,PERODUA,2019,84,0.0456," RM48,001 - RM72,000",38000
"JALAN BESERAH, KUANTAN   ",HONDA,2019,108,0.0403," RM24,001 - RM48,000",69000
KOTA KINABALU API API,ISUZU,2019,108,0.04," RM48,001 - RM72,000",108000
BUKIT BINTANG,PERODUA,2019,108,0.0461," RM18,001 - RM24,000",38000
KL MAIN (EON BUILDING),PERODUA,2019,108,0.0475," RM48,001 - RM72,000",45000
MELAKA TMR1,PROTON,2018,60,0.0459," RM24,001 - RM48,000",42000
PUCHONG JAYA,PERODUA,2019,108,0.0503," RM24,001 - RM48,000",33500
"PUSAT DAGANGAN BAKRI,MUAR",PERODUA,2019,84,0.05," RM24,001 - RM48,000",20000
SENAWANG,HONDA,2019,84,0.0402," Above RM120,000    ",78400
KOTA KINABALU API API,TOYOTA,2019,108,0.0391," RM24,001 - RM48,000",77400
KOTA KINABALU API API,ISUZU,2018,108,0.0408," RM48,001 - RM72,000",85000
KOTA KINABALU API API,TOYOTA,2019,108,0.0385," RM72,001 - RM96,000",181800
"HUMPHREY STREET, SANDAKAN BRANCH",PROTON,2019,108,0.0503," RM48,001 - RM72,000",37000
"TMN KULAI UTAMA, JB ",PERODUA,2019,36,0.05," RM72,001 - RM96,000",31100
KL MAIN (EON BUILDING),PERODUA,2019,108,0.0461," RM24,001 - RM48,000",44300
KLUANG BRANCH,PROTON,2018,108,0.0502," RM24,001 - RM48,000",36800
MELAKA TMR1,PROTON,2019,108,0.0481," RM18,001 - RM24,000",35000
KL MAIN (EON BUILDING),NISSAN,2019,108,0.0393," Above RM120,000    ",122000
KOTA KINABALU API API,PERODUA,2019,108,0.0495," RM24,001 - RM48,000",31600
TAMAN SRI TEBRAU,TOYOTA,2019,84,0.0394," Above RM120,000    ",99400
KOTA KINABALU API API,PROTON,2019,108,0.0496," RM24,001 - RM48,000",31000
SITIAWAN BRANCH,PROTON,2019,60,0.0385," RM72,001 - RM96,000",114700
TAMAN MIDAH,PROTON,2019,108,0.0397," Above RM120,000    ",114000
TAMAN SRI TEBRAU,PERODUA,2019,108,0.046," RM24,001 - RM48,000",44400
TAMAN ABAD,PROTON,2019,108,0.0483," RM24,001 - RM48,000",53800
PUCHONG JAYA,PERODUA,2019,60,0.0454," Above RM120,000    ",34900
KOTA KINABALU API API,PROTON,2019,108,0.0477," RM18,001 - RM24,000",38300
KROKOP ,TOYOTA,2019,60,0.0396, Undisclosed        ,72800
TAMAN SRI TEBRAU,PERODUA,2019,60,0.0462," RM24,001 - RM48,000",35000
TAMAN SRI TEBRAU,NISSAN,2019,108,0.0398," RM72,001 - RM96,000",127000
BATU PAHAT BRANCH,PERODUA,2019,60,0.0497," RM18,001 - RM24,000",20000
BATU PAHAT BRANCH,PERODUA,2019,60,0.0411," RM72,001 - RM96,000",50000
TAMAN SRI TEBRAU,PERODUA,2019,60,0.0446," RM72,001 - RM96,000",40000
TAMAN ABAD,VOLKSWAGEN,2019,60,0.0393," RM48,001 - RM72,000",70800
KL MAIN (EON BUILDING),PERODUA,2019,108,0.049," RM24,001 - RM48,000",38000
SS2 PJ,SUBARU,2019,36,0.0398," Above RM120,000    ",60000
TAMAN SRI TEBRAU,PROTON,2018,84,0.0392," RM96,001 - RM120,000",80000
AUSTIN HEIGHTS BRANCH,HONDA,2019,108,0.0394," RM48,001 - RM72,000",71900
DESA CEMERLANG,PERODUA,2019,108,0.05," RM72,001 - RM96,000",28000
TAMAN SRI TEBRAU,HONDA,2019,72,0.0406," RM24,001 - RM48,000",50000
PUCHONG JAYA,HONDA,2019,84,0.0403," RM24,001 - RM48,000",45000
KOTA KINABALU API API,PERODUA,2019,108,0.0492," RM48,001 - RM72,000",35400
BATU PAHAT BRANCH,PERODUA,2018,84,0.0464," RM48,001 - RM72,000",47000
SIBU,MITSUBISHI,2018,108,0.0407, Undisclosed        ,69000
"T.NIAGA JAYA,BKT MERTAJAM   ",PROTON,2018,108,0.0493," RM24,001 - RM48,000",34500
KOTA KINABALU API API,PERODUA,2019,84,0.047," RM12,001 - RM18,000",39000
MELAKA TMR1,HONDA,2018,108,0.0408," RM24,001 - RM48,000",66400
TAMAN MALURI BRANCH,TOYOTA,2019,84,0.0387," RM72,001 - RM96,000",76300
PARIT BUNTAR BRANCH,PERODUA,2019,60,0.0421," RM48,001 - RM72,000",40000
SOUTHGATE BRANCH,HONDA,2019,84,0.0387," RM48,001 - RM72,000",90000
PUCHONG JAYA,PROTON,2019,84,0.0387," RM48,001 - RM72,000",100000
"TAMAN PUTRA, AMPANG BRANCH",PERODUA,2019,108,0.0464," RM24,001 - RM48,000",50200
KROKOP ,TOYOTA,2018,108,0.0403," RM24,001 - RM48,000",105000
"JLN SULTAN IDRIS SHAH, IPOH BRANCH",PERODUA,2019,84,0.0418," RM96,001 - RM120,000",50000
JOHOR BAHRU BRANCH,HONDA,2019,60,0.0379," RM48,001 - RM72,000",100000
"JALAN PENDING, KUCHING BRANCH",PERODUA,2019,108,0.0462," RM24,001 - RM48,000",51700
"JITRA, KEDAH",PERODUA,2018,84,0.047," RM18,001 - RM24,000",46000
TAMAN SRI TEBRAU,PROTON,2018,108,0.049," RM24,001 - RM48,000",37000
"JLN SULTAN IDRIS SHAH, IPOH BRANCH",MAZDA,2019,108,0.0401," RM24,001 - RM48,000",90000
TAWAU BRANCH,TOYOTA,2019,84,0.0394," RM24,001 - RM48,000",80000
KL MAIN (EON BUILDING),PROTON,2019,108,0.0485," RM24,001 - RM48,000",29600
TAMAN SRI TEBRAU,PERODUA,2019,108,0.0464," RM72,001 - RM96,000",52000
TAMAN SRI TEBRAU,NISSAN,2019,108,0.0407," RM72,001 - RM96,000",71000
SS2 PJ,HONDA,2019,84,0.0393," RM96,001 - RM120,000",70000
"JALAN KAPAR, KLANG          ",MAZDA,2019,60,0.0387," Above RM120,000    ",100000
SANDAKAN BRANCH,NISSAN,2018,108,0.0412," RM48,001 - RM72,000",96000
"J.SONG THIAN CHEOK,KUCHING       ",PERODUA,2019,108,0.0499," RM18,001 - RM24,000",25000
"T.NIAGA JAYA,BKT MERTAJAM   ",PERODUA,2019,84,0.0483," RM48,001 - RM72,000",37500
KOTA KINABALU API API,PERODUA,2018,108,0.049," RM24,001 - RM48,000",38800
KUANTAN BRANCH,PROTON,2019,108,0.048," RM24,001 - RM48,000",46500
SS2 PJ,HONDA,2019,108,0.04," RM48,001 - RM72,000",74000
TAMAN TAMPOI INDAH BRANCH,PERODUA,2019,84,0.0452, Undisclosed        ,43500
"JLN SULTAN IDRIS SHAH, IPOH BRANCH",PERODUA,2019,84,0.0475," RM24,001 - RM48,000",48900
TAMAN SRI TEBRAU,PROTON,2019,60,0.0389," RM96,001 - RM120,000",70000
SEREMBAN 2,HONDA,2019,108,0.0407," RM24,001 - RM48,000",68000
TAWAU BRANCH,FORD,2018,108,0.0405," RM24,001 - RM48,000",120000
"T.NIAGA JAYA,BKT MERTAJAM   ",PROTON,2019,48,0.0428," RM24,001 - RM48,000",30000
SELAYANG BRANCH,TOYOTA,2019,36,0.0421," RM48,001 - RM72,000",45000
SETAPAK BRANCH,PERODUA,2019,108,0.0499," RM24,001 - RM48,000",38900
BATU CAVES BRANCH,MERCEDES BENZ,2019,108,0.039," Above RM120,000    ",238000
"BUKIT RAHMAN PUTRA, SUNGAI BULOH BRANCH",PROTON,2019,108,0.0483," RM18,001 - RM24,000",31900
TAIPING BRANCH,HONDA,2019,108,0.0393," RM48,001 - RM72,000",65000
SS2 PJ,PERODUA,2019,108,0.0495," RM24,001 - RM48,000",33300
"BERCHAM, PERAK BRANCH",LEXUS,2019,108,0.0373," Above RM120,000    ",238000
TAMAN SRI TEBRAU,KIA,2018,84,0.0397," RM72,001 - RM96,000",77300
JALAN TUN JUGAH,PERODUA,2019,108,0.0416," RM24,001 - RM48,000",50000
"JALAN KAPAR, KLANG          ",PROTON,2019,108,0.0475," RM48,001 - RM72,000",46000
"JALAN KAPAR, KLANG          ",PROTON,2019,84,0.0395," RM48,001 - RM72,000",96000
KROKOP ,PERODUA,2019,36,0.0472," Above RM120,000    ",43000
MELAKA TMR1,TOYOTA,2019,108,0.039," RM24,001 - RM48,000",108700
KEPONG BRANCH,PERODUA,2019,60,0.0451," RM48,001 - RM72,000",35000
TAMAN SRI TEBRAU,PERODUA,2019,108,0.0482, Undisclosed        ,50100
JALAN KELANG LAMA BRANCH,PROTON,2019,108,0.048," RM18,001 - RM24,000",36000
YONG PENG BRANCH,PERODUA,2019,60,0.0483," RM24,001 - RM48,000",25000
"CTRL PARK COMM CTR, KCG ",PERODUA,2019,108,0.049," RM24,001 - RM48,000",32000
"JALAN KAPAR, KLANG          ",HONDA,2018,108,0.0405," Above RM120,000    ",163000
TAMAN SRI TEBRAU,PROTON,2019,60,0.0391," Above RM120,000    ",76500
JOHOR BAHRU BRANCH,PERODUA,2019,60,0.0462," RM24,001 - RM48,000",35000
TAMAN SRI TEBRAU,PERODUA,2019,108,0.0419," RM24,001 - RM48,000",72000
PUCHONG JAYA,PERODUA,2019,60,0.0468," RM24,001 - RM48,000",30000
SEREMBAN 2,PERODUA,2019,108,0.0496," RM48,001 - RM72,000",46000
MASAI,PROTON,2019,108,0.0473, Undisclosed        ,50000
MELAKA TMR1,PERODUA,2019,108,0.0454," RM24,001 - RM48,000",55900
TAMAN MALURI BRANCH,HONDA,2019,108,0.04," RM24,001 - RM48,000",70000
SS2 PJ,MAZDA,2019,60,0.0371," Above RM120,000    ",80000
"JALAN KAPAR, KLANG          ",PROTON,2018,108,0.0495," RM24,001 - RM48,000",32500
MELAKA BRANCH,HONDA,2019,60,0.0404," RM72,001 - RM96,000",80000
BATU PAHAT BRANCH,PERODUA,2019,108,0.0424," RM24,001 - RM48,000",72200
JELUTONG,PERODUA,2019,108,0.0462," RM24,001 - RM48,000",41000
BINTULU BRANCH,HONDA,2019,84,0.0391," RM48,001 - RM72,000",100000
PUCHONG JAYA,SUBARU,2019,84,0.0379," Above RM120,000    ",118000
"MENJALARA, KUALA LUMPUR",PERODUA,2019,108,0.0419," RM48,001 - RM72,000",72000
MENTAKAB BRANCH,PERODUA,2019,72,0.0416," Above RM120,000    ",60000
"JALAN BESERAH, KUANTAN   ",PROTON,2019,108,0.0469," RM24,001 - RM48,000",60000
SEREMBAN BRANCH,NISSAN,2019,108,0.0388," RM96,001 - RM120,000",115000
PENANG BRANCH,HONDA,2019,84,0.0389," RM48,001 - RM72,000",73000
KOTA KINABALU API API,MITSUBISHI,2019,108,0.0388," RM72,001 - RM96,000",111000
"T.NIAGA JAYA,BKT MERTAJAM   ",PERODUA,2019,84,0.0475, Undisclosed        ,30000
SEREMBAN 2,HYUNDAI,2019,108,0.0395," RM48,001 - RM72,000",141000
TAMAN MIDAH,PERODUA,2019,84,0.0449," RM48,001 - RM72,000",45000
SEREMBAN 2,PERODUA,2019,108,0.0483," RM24,001 - RM48,000",46000
JELUTONG,PERODUA,2019,108,0.0419," RM24,001 - RM48,000",67600
"TAMAN SENTOSA, KLANG BRANCH",PERODUA,2019,108,0.0475," RM24,001 - RM48,000",30600
MELAKA TMR1,PROTON,2018,108,0.0504," RM24,001 - RM48,000",35000
"JLN PASIR PUTEH, IPOH BRANCH",PERODUA,2019,60,0.0415, Undisclosed        ,50000
"HUMPHREY STREET, SANDAKAN BRANCH",MITSUBISHI,2019,108,0.0388," RM48,001 - RM72,000",117000
"TAMAN SENTOSA, KLANG BRANCH",PERODUA,2019,108,0.05," RM24,001 - RM48,000",42000
KL MAIN (EON BUILDING),HONDA,2019,108,0.0392," RM24,001 - RM48,000",75800
SHAH ALAM BRANCH,VOLKSWAGEN,2018,108,0.0407," RM48,001 - RM72,000",68600
KL MAIN (EON BUILDING),HONDA,2019,108,0.0392," RM48,001 - RM72,000",70200
KROKOP ,PERODUA,2019,108,0.0466," RM24,001 - RM48,000",45000
MELAKA TMR1,MITSUBISHI,2019,108,0.0388," RM72,001 - RM96,000",114000
SS2 PJ,TOYOTA,2019,84,0.0382," RM48,001 - RM72,000",106000
MELAKA TMR1,TOYOTA,2019,108,0.0397," RM24,001 - RM48,000",76700
TAMAN SRI TEBRAU,PROTON,2019,108,0.0469," RM12,001 - RM18,000",34500
KEPONG BRANCH,NISSAN,2018,108,0.0418," RM24,001 - RM48,000",58500
KOTA KINABALU API API,PERODUA,2019,108,0.0488," RM18,001 - RM24,000",43000
"JLN SULTAN IDRIS SHAH, IPOH BRANCH",PERODUA,2019,84,0.0473," RM24,001 - RM48,000",50200
MELAKA TMR1,PERODUA,2019,108,0.0495," RM24,001 - RM48,000",30400
BATU PAHAT BRANCH,PERODUA,2019,108,0.0484," RM12,001 - RM18,000",20000
"TAMAN SENTOSA, KLANG BRANCH",PERODUA,2019,108,0.0419," RM18,001 - RM24,000",70000
SS2 PJ,PERODUA,2019,60,0.0454, Undisclosed        ,32200
KL MAIN (EON BUILDING),TOYOTA,2019,60,0.0418," RM24,001 - RM48,000",40000
"JALAN GENUANG, SEGAMAT   ",PROTON,2019,36,0.0485," RM96,001 - RM120,000",30000
KUCHING RH PLAZA,PERODUA,2019,108,0.0486," RM24,001 - RM48,000",33500
KROKOP ,PROTON,2019,108,0.0401," RM72,001 - RM96,000",76900
KOTA KINABALU API API,PERODUA,2019,60,0.0457," RM48,001 - RM72,000",40000
JERANTUT BRANCH,PERODUA,2019,84,0.0494," RM48,001 - RM72,000",46700
SS2 PJ,HONDA,2019,84,0.0387," RM72,001 - RM96,000",85600
TAMAN MIDAH,PERODUA,2019,108,0.0418," RM24,001 - RM48,000",70000
SS2 PJ,MAZDA,2019,72,0.038," RM96,001 - RM120,000",141000
TAMAN SRI TEBRAU,HONDA,2019,96,0.0411," RM24,001 - RM48,000",61200
SEREMBAN 2,PROTON,2019,108,0.0481," RM24,001 - RM48,000",34400
JELUTONG,TOYOTA,2019,60,0.0394," RM96,001 - RM120,000",65000
RAWANG BRANCH,MAZDA,2019,84,0.038," RM48,001 - RM72,000",127000
ALOR SETAR BRANCH,PERODUA,2019,108,0.0497," RM24,001 - RM48,000",44600
PARAMOUNT GARDEN BRANCH,HONDA,2019,108,0.0405," RM24,001 - RM48,000",116000
PRAI BRANCH,PORSCHE,2019,60,0.0372," Above RM120,000    ",360000
PANDAN PERDANA BRANCH,PERODUA,2019,108,0.0419," RM24,001 - RM48,000",70500
"JLN SULTAN IDRIS SHAH, IPOH BRANCH",PERODUA,2019,108,0.0471," RM18,001 - RM24,000",36200
KUCHING RH PLAZA,PROTON,2019,96,0.0399," RM24,001 - RM48,000",86800
KUCHING RH PLAZA,TOYOTA,2019,84,0.0392," RM48,001 - RM72,000",97000
DAMANSARA UTAMA BRANCH,PERODUA,2019,108,0.05," RM24,001 - RM48,000",27600
BATU PAHAT BRANCH,PERODUA,2019,108,0.0461," RM48,001 - RM72,000",50300
TAMAN SRI TEBRAU,PERODUA,2019,108,0.0478," RM96,001 - RM120,000",50000
"JALAN KAPAR, KLANG          ",HONDA,2019,108,0.0404," RM48,001 - RM72,000",90000
KOTA TINGGI BRANCH,PROTON,2018,60,0.0423," RM24,001 - RM48,000",50000
SHAH ALAM BRANCH,PERODUA,2019,108,0.047," RM24,001 - RM48,000",31300
"JALAN KAPAR, KLANG          ",PERODUA,2019,60,0.0442," Above RM120,000    ",45800
KOTA KINABALU API API,HONDA,2019,84,0.0404," RM72,001 - RM96,000",50000
SEREMBAN 2,PERODUA,2019,108,0.0419," RM24,001 - RM48,000",68000
MELAKA TMR1,PROTON,2018,108,0.0504," RM18,001 - RM24,000",36000
KUANTAN BRANCH,PROTON,2019,108,0.048," RM12,001 - RM18,000",35000
BATU BERENDAM,PERODUA,2019,108,0.0516," RM96,001 - RM120,000",24000
TAMAN SRI TEBRAU,HONDA,2019,36,0.0437," RM72,001 - RM96,000",35000
KROKOP ,PERODUA,2019,108,0.0487," RM72,001 - RM96,000",43700
BATU PAHAT BRANCH,PROTON,2018,108,0.0492," RM24,001 - RM48,000",35000
PRAI BRANCH,HONDA,2019,36,0.0447, Undisclosed        ,30000
TAMAN SRI TEBRAU,HONDA,2019,60,0.0388," Above RM120,000    ",109600
"JALAN KAPAR, KLANG          ",TOYOTA,2019,60,0.039," Above RM120,000    ",80000
SUNGAI PETANI BRANCH,PERODUA,2019,108,0.0482," RM48,001 - RM72,000",36700
TAMAN SRI TEBRAU,PROTON,2019,108,0.05," RM24,001 - RM48,000",27800
TAMAN MALURI BRANCH,PROTON,2019,108,0.048," RM24,001 - RM48,000",46000
TAMAN SRI TEBRAU,PROTON,2019,108,0.0404," RM72,001 - RM96,000",90000
"TAMAN NUSA BESTARI JAYA, JB BRANCH",PERODUA,2019,84,0.049," RM48,001 - RM72,000",32000
"JALAN BESERAH, KUANTAN   ",HONDA,2019,108,0.0396," RM96,001 - RM120,000",85500
"SEKSYEN 3, BANDAR SEMENYIH BRANCH",ISUZU,2019,60,0.0388," RM48,001 - RM72,000",90000
"JALAN KAPAR, KLANG          ",HONDA,2019,108,0.0401," RM48,001 - RM72,000",70000
"JALAN KAPAR, KLANG          ",PERODUA,2019,108,0.0485," RM24,001 - RM48,000",46700
TAMAN SRI TEBRAU,PERODUA,2019,60,0.0493," RM24,001 - RM48,000",20000
SS2 PJ,VOLKSWAGEN,2019,84,0.0399," RM48,001 - RM72,000",68000
KULIM BRANCH,PERODUA,2019,60,0.0456," RM48,001 - RM72,000",30000
KOTA KINABALU API API,MITSUBISHI,2019,108,0.0389," RM24,001 - RM48,000",99900
"JALAN KAPAR, KLANG          ",NISSAN,2019,108,0.0403," RM24,001 - RM48,000",105800
TAMAN SRI TEBRAU,PROTON,2019,108,0.0486," RM24,001 - RM48,000",34000
"JALAN BESERAH, KUANTAN   ",PERODUA,2019,108,0.0434," RM48,001 - RM72,000",64700
KL MAIN (EON BUILDING),PERODUA,2019,84,0.0482," RM12,001 - RM18,000",30000
USJ,HYUNDAI,2018,60,0.0389," RM96,001 - RM120,000",139500
KOTA KINABALU API API,TOYOTA,2019,84,0.0395," RM72,001 - RM96,000",100000
TAMAN JOHOR JAYA BRANCH,MAZDA,2019,60,0.0385," RM72,001 - RM96,000",120000
TAMAN SRI TEBRAU,PERODUA,2019,108,0.047," RM18,001 - RM24,000",32600
"PUSAT DAGANGAN BAKRI,MUAR",PERODUA,2019,60,0.0442, Undisclosed        ,50000
TAMAN SRI TEBRAU,TOYOTA,2019,108,0.0397," RM96,001 - RM120,000",166000
SEREMBAN 2,HONDA,2019,108,0.0391," RM48,001 - RM72,000",68000
MELAKA TMR1,BMW,2019,108,0.039," Above RM120,000    ",175500
KEMAMAN BRANCH,PERODUA,2019,108,0.0503," RM18,001 - RM24,000",46500
PUCHONG JAYA,PERODUA,2019,60,0.0478, Undisclosed        ,35000
TAMAN SRI TEBRAU,TOYOTA,2019,60,0.0392," RM24,001 - RM48,000",85000
"JALAN KAPAR, KLANG          ",PERODUA,2019,60,0.0465," RM24,001 - RM48,000",30800
"JALAN BESERAH, KUANTAN   ",PERODUA,2019,108,0.0501," RM24,001 - RM48,000",35000
KEPONG BRANCH,NISSAN,2019,108,0.0399," RM72,001 - RM96,000",133200
TAMAN SRI TEBRAU,PROTON,2018,108,0.05," RM24,001 - RM48,000",34500
SEREMBAN BRANCH,PROTON,2019,84,0.039," RM48,001 - RM72,000",81300
SS2 PJ,PERODUA,2019,108,0.0474," RM24,001 - RM48,000",35000
TAMAN SRI TEBRAU,PROTON,2019,84,0.0457," RM24,001 - RM48,000",39200
PONTIAN,PERODUA,2019,60,0.045," RM24,001 - RM48,000",50000
"JALAN KAPAR, KLANG          ",TOYOTA,2019,36,0.0409," RM72,001 - RM96,000",60000
"L. THEAN TEIK,AYER ITAM     ",PROTON,2019,84,0.0395," RM24,001 - RM48,000",90000
"BANDAR BOTANIC, SELANGOR",HONDA,2019,108,0.0387," Above RM120,000    ",145000
"JALAN KAPAR, KLANG          ",MERCEDES BENZ,2019,60,0.0375," Above RM120,000    ",211000
TAMAN SRI TEBRAU,TOYOTA,2019,84,0.0398," RM96,001 - RM120,000",70000
PETALING JAYA BRANCH,MAZDA,2019,60,0.0375," Above RM120,000    ",150000
"BANDAR BOTANIC, SELANGOR",PERODUA,2019,108,0.0421," RM48,001 - RM72,000",60000
SEVENTH MILE BAZAAR BRANCH,PERODUA,2019,84,0.0458," RM24,001 - RM48,000",35000
"SEKSYEN 3, BANDAR SEMENYIH BRANCH",TOYOTA,2019,108,0.0407," RM48,001 - RM72,000",90800
KAJANG BRANCH,PROTON,2019,60,0.0388," RM72,001 - RM96,000",100000
KOTA KINABALU API API,PROTON,2019,108,0.0485," RM18,001 - RM24,000",52300
KOTA KINABALU API API,PROTON,2019,108,0.049," RM24,001 - RM48,000",38000
SRI ANDALAS BRANCH,PERODUA,2018,108,0.0505," RM24,001 - RM48,000",41900
"TAMAN UNIVERSITY, SKUDAI BRANCH",PERODUA,2019,108,0.0415," Above RM120,000    ",68200
SS2 PJ,BMW,2019,84,0.0381," Above RM120,000    ",150000
BANDAR BARU AMPANG BRANCH,PERODUA,2019,72,0.0475," RM12,001 - RM18,000",30000
